facility,country_code,country,city,year,pollutant,total_emissions
"Speira Recycling Services Germany GmbH, Werk Töging",DE,Germany,Töging a.Inn,2023,NOX,181000
"Wacker Chemie AG, Werk Burghausen",DE,Germany,Burghausen,2023,NOX,273000
Gunvor Raffinerie Ingolstadt GmbH,DE,Germany,Kösching,2023,NOX,423000
Flughafen München GmbH - Energiezentrale,DE,Germany,Freising,2023,NOX,124000
Verallia Deutschland AG,DE,Germany,Neuburg a.d.Donau,2023,NOX,194000
"Basell Polyolefine GmbH, Standort Münchsmünster",DE,Germany,Münchsmünster,2023,NOX,325000
"BAYERNOIL Raffineriegesellschaft mbH, Betriebsteil Vohburg",DE,Germany,Vohburg a.d.Donau,2023,NOX,151000
"BAYERNOIL Raffineriegesellschaft mbH, Betriebsteil Neustadt",DE,Germany,Neustadt a.d.Donau,2023,NOX,399000
"RW silicium GmbH, Werk Pocking",DE,Germany,Pocking,2023,NOX,154000
Müllkraftwerk Schwandorf,DE,Germany,Schwandorf,2023,NOX,125000
"Schott AG, Standort Mitterteich, Werk 1",DE,Germany,Mitterteich,2023,NOX,484000
Liapor GmbH & Co. KG,DE,Germany,Hallerndorf,2023,NOX,145000
"Wiegand-Glashüttenwerke GmbH, Werk Steinbach a.Wald",DE,Germany,Steinbach a.Wald,2023,NOX,349000
"N-ERGIE Kraftwerke GmbH, Heizkraftwerke Sandreuth",DE,Germany,Nürnberg,2023,NOX,279000
HBB Heizkraftwerk Bauernfeind Betreibergesellschaft mbH,DE,Germany,Raubling,2023,NOX,159000
Zementwerk Rohrdorf,DE,Germany,Rohrdorf,2023,NOX,282000
"UPM GmbH, Werk Schongau",DE,Germany,Schongau,2023,NOX,118000
Pfleiderer Neumarkt GmbH,DE,Germany,Neumarkt i.d.OPf.,2023,NOX,129000
Pilkington Deutschland AG,DE,Germany,Weiherhammer,2023,NOX,819000
"Heidelberg Materials AG, Zementwerk Burglengenfeld",DE,Germany,Burglengenfeld,2023,NOX,390000
Egger Holzwerkstoffe Markt Bibart GmbH,DE,Germany,Markt Bibart,2023,NOX,139000
Solnhofer Portland-Zementwerke GmbH & Co. KG,DE,Germany,Solnhofen,2023,NOX,179000
"GKS, Müllheizkraftwerk Schweinfurt",DE,Germany,Schweinfurt,2023,NOX,163000
Müllheizkraftwerk Würzburg,DE,Germany,Würzburg,2023,NOX,111000
Sappi Stockstadt GmbH,DE,Germany,Stockstadt a.Main,2023,NOX,209000
Pfeifer Holz GmbH - Werk Unterbernbach,DE,Germany,Kühbach,2023,NOX,214000
Sonac Mering GmbH,DE,Germany,Mering,2023,NOX,325000
Gerresheimer Lohr GmbH,DE,Germany,Lohr a.Main,2023,NOX,203000
